st	accession	sp	gn
Labrenzia_suaedae	GCF_900142725.1	Labrenzia suaedae	Labrenzia
Labrys_okinawensis	GCF_002982075.1	Labrys okinawensis	Labrys
Laceyella_sacchari	GCF_002893785.1	Laceyella sacchari	Laceyella
Lachnoanaerobaculum_saburreum_DSM_3986	GCF_000185385.1	Lachnoanaerobaculum saburreum	Lachnoanaerobaculum
Lachnobacterium_bovis_DSM_14045	GCF_900107245.1	Lachnobacterium bovis	Lachnobacterium
Lachnoclostridium_phocaeense	GCF_900120345.1	Lachnoclostridium phocaeense	Lachnoclostridium
Lachnospira_multipara_ATCC_19207	GCF_000424105.1	Lachnospira multipara	Lachnospira
Lachnospiraceae_bacterium	GCF_900168235.1	Lachnospiraceae bacterium	Lachnospiraceae
Lachnotalea_sp._AF33-28	GCF_003477885.1	Lachnotalea sp.	Lachnotalea
Lacibacter_sp._TTM-7	GCF_004118265.1	Lacibacter sp.	Lacibacter
Lacimicrobium_alkaliphilum	GCF_001466725.1	Lacimicrobium alkaliphilum	Lacimicrobium
Lacinutrix_jangbogonensis	GCF_000797445.1	Lacinutrix jangbogonensis	Lacinutrix
Lacticigenium_naphtae_DSM_19658	GCF_000425865.1	Lacticigenium naphtae	Lacticigenium
Lactobacillus_salivarius_UCC118	GCF_000008925.1	Lactobacillus salivarius	Lactobacillus
Lactobacilus_nuruki	GCF_002872255.1	Lactobacilus nuruki	Lactobacilus
Lactococcus_lactis_subsp._lactis_Il1403	GCF_000006865.1	Lactococcus lactis	Lactococcus
Lactomassilus_timonensis	GCF_900240265.1	Lactomassilus timonensis	Lactomassilus
Lactonifactor_longoviformis_DSM_17459	GCF_900129135.1	Lactonifactor longoviformis	Lactonifactor
Lacunisphaera_limnophila	GCF_001746835.1	Lacunisphaera limnophila	Lacunisphaera
Lagierella_massiliensis	GCF_001407835.1	Lagierella massiliensis	Lagierella
Lamprocystis_purpurea_DSM_4197	GCF_000379525.1	Lamprocystis purpurea	Lamprocystis
Lampropedia_hyalina_DSM_16112	GCF_900129055.1	Lampropedia hyalina	Lampropedia
Laribacter_hongkongensis_HLHK9	GCF_000021025.1	Laribacter hongkongensis	Laribacter
Larkinella_soli	GCF_003703975.1	Larkinella soli	Larkinella
Lascolabacillus_massiliensis	GCF_001282625.1	Lascolabacillus massiliensis	Lascolabacillus
Lautropia_mirabilis_ATCC_51599	GCF_000186425.1	Lautropia mirabilis	Lautropia
Lawsonella_clevelandensis	GCF_001293125.1	Lawsonella clevelandensis	Lawsonella
Lawsonia_intracellularis_PHE/MN1-00	GCF_000055945.1	Lawsonia intracellularis	Lawsonia
Lawsonibacter_asaccharolyticus	GCF_003112755.1	Lawsonibacter asaccharolyticus	Lawsonibacter
Leadbetterella_byssophila_DSM_17132	GCF_000166395.1	Leadbetterella byssophila	Leadbetterella
Lebetimonas_sp._JH292	GCF_000523275.1	Lebetimonas sp.	Lebetimonas
Lechevalieria_xinjiangensis	GCF_900110955.1	Lechevalieria xinjiangensis	Lechevalieria
Leclercia_adecarboxylata_ATCC_23216_=_NBRC_102595	GCF_000735515.1	Leclercia adecarboxylata	Leclercia
Leeia_oryzae_DSM_17879	GCF_000376945.1	Leeia oryzae	Leeia
Leeuwenhoekiella_marinoflava_DSM_3653	GCF_900129005.1	Leeuwenhoekiella marinoflava	Leeuwenhoekiella
Legionella_drancourtii_LLAP12	GCF_000162755.2	Legionella drancourtii	Legionella
Leifsonia_xyli_subsp._cynodontis_DSM_46306	GCF_000470775.1	Leifsonia xyli	Leifsonia
Leisingera_daeponensis_DSM_23529	GCF_000473145.1	Leisingera daeponensis	Leisingera
Lelliottia_aquatilis	GCF_002923125.1	Lelliottia aquatilis	Lelliottia
Leminorella_grimontii_ATCC_33999_=_DSM_5078	GCF_000439085.1	Leminorella grimontii	Leminorella
Lentibacillus_jeotgali	GCF_000224785.1	Lentibacillus jeotgali	Lentibacillus
Lentibacter_algarum	GCF_900107355.1	Lentibacter algarum	Lentibacter
Lentimicrobium_saccharophilum	GCF_001192835.1	Lentimicrobium saccharophilum	Lentimicrobium
Lentisphaera_araneosa_HTCC2155	GCF_000170755.1	Lentisphaera araneosa	Lentisphaera
Lentzea_albidocapillata	GCF_000719115.1	Lentzea albidocapillata	Lentzea
Leptolinea_tardivitalis	GCF_001050275.1	Leptolinea tardivitalis	Leptolinea
Leptolyngbya_ohadii_IS1	GCF_002215035.1	Leptolyngbya ohadii	Leptolyngbya
Leptonema_illini_DSM_21528	GCF_000243335.1	Leptonema illini	Leptonema
Leptospira_biflexa_serovar_Patoc_strain_Patoc_1_(Paris)	GCF_000017685.1	Leptospira biflexa	Leptospira
Leptospirillum_ferriphilum_ML-04	GCF_000299235.1	Leptospirillum ferriphilum	Leptospirillum
Leptothrix_cholodnii_SP-6	GCF_000019785.1	Leptothrix cholodnii	Leptothrix
Leptotrichia_wadei_DSM_19758	GCF_000373345.1	Leptotrichia wadei	Leptotrichia
Leucobacter_chromiiresistens_JG_31	GCF_000231305.1	Leucobacter chromiiresistens	Leucobacter
Leuconostoc_lactis	GCF_001698145.1	Leuconostoc lactis	Leuconostoc
Leucothrix_mucor_DSM_2157	GCF_000419525.1	Leucothrix mucor	Leucothrix
Levilinea_saccharolytica	GCF_001306035.1	Levilinea saccharolytica	Levilinea
Levyella_massiliensis	GCF_000308275.2	Levyella massiliensis	Levyella
Lewinella_persica_DSM_23188	GCF_000373105.1	Lewinella persica	Lewinella
Lewinellaceae_bacterium_SD302	GCF_002591745.1	Lewinellaceae bacterium	Lewinellaceae
Libanicoccus_massiliensis	GCF_900143685.1	Libanicoccus massiliensis	Libanicoccus
Liberibacter_crescens_BT-1	GCF_000325745.1	Liberibacter crescens	Liberibacter
Lihuaxuella_thermophila	GCF_900110165.1	Lihuaxuella thermophila	Lihuaxuella
Limimaricola_hongkongensis_DSM_17492	GCF_000600975.2	Limimaricola hongkongensis	Limimaricola
Limimonas_halophila	GCF_900100655.1	Limimonas halophila	Limimonas
Limnobacter_sp._MED105	GCF_000170915.1	Limnobacter sp.	Limnobacter
Limnobaculum_parvum	GCF_003096015.2	Limnobaculum parvum	Limnobaculum
Limnochorda_pilosa	GCF_001544015.1	Limnochorda pilosa	Limnochorda
Limnohabitans_planktonicus_II-D5	GCF_001270065.2	Limnohabitans planktonicus	Limnohabitans
Limnoraphis_robusta_CS-951	GCF_000972705.2	Limnoraphis robusta	Limnoraphis
Limnothrix_rosea_IAM_M-220	GCF_001904615.1	Limnothrix rosea	Limnothrix
Lishizhenia_tianjinensis	GCF_900116425.1	Lishizhenia tianjinensis	Lishizhenia
Listeria_grayi_DSM_20601	GCF_000148995.1	Listeria grayi	Listeria
Listeriaceae_bacterium_FSL_A5-0209	GCF_000766055.1	Listeriaceae bacterium	Listeriaceae
Litoreibacter_janthinus	GCF_900111945.1	Litoreibacter janthinus	Litoreibacter
Litorilituus_sediminis	GCF_004295665.1	Litorilituus sediminis	Litorilituus
Litorimicrobium_taeanense	GCF_900110775.1	Litorimicrobium taeanense	Litorimicrobium
Litorimonas_taeanensis	GCF_003634015.1	Litorimonas taeanensis	Litorimonas
Loktanella_fryxellensis	GCF_900110065.1	Loktanella fryxellensis	Loktanella
Longibacter_salinarum	GCF_002554795.1	Longibacter salinarum	Longibacter
Longilinea_arvoryzae	GCF_001050235.1	Longilinea arvoryzae	Longilinea
Longimonas_halophila	GCF_002554705.1	Longimonas halophila	Longimonas
Longispora_albida_DSM_44784	GCF_000379825.1	Longispora albida	Longispora
Lonsdalea_quercina_subsp._quercina	GCF_000688655.1	Lonsdalea quercina	Lonsdalea
Lucifera_butyrica	GCF_900476375.1	Lucifera butyrica	Lucifera
Luminiphilus_syltensis_NOR5-1B	GCF_000158175.1	Luminiphilus syltensis	Luminiphilus
Lunatimonas_lonarensis	GCF_000390185.1	Lunatimonas lonarensis	Lunatimonas
Luteibacter_yeojuensis	GCF_000964085.1	Luteibacter yeojuensis	Luteibacter
Luteimicrobium_subarcticum	GCF_002798015.1	Luteimicrobium subarcticum	Luteimicrobium
Luteimonas_mephitis_DSM_12574	GCF_000422305.1	Luteimonas mephitis	Luteimonas
Luteipulveratus_halotolerans	GCF_001247745.1	Luteipulveratus halotolerans	Luteipulveratus
Luteitalea_pratensis	GCF_001618865.1	Luteitalea pratensis	Luteitalea
Luteococcus_japonicus_LSP_Lj1	GCF_900163845.1	Luteococcus japonicus	Luteococcus
Lutibacter_agarilyticus	GCF_900188235.1	Lutibacter agarilyticus	Lutibacter
Lutibaculum_baratangense_AMV1	GCF_000496075.1	Lutibaculum baratangense	Lutibaculum
Lutimaribacter_saemankumensis	GCF_900100005.1	Lutimaribacter saemankumensis	Lutimaribacter
Lutispora_thermophila_DSM_19022	GCF_900142105.1	Lutispora thermophila	Lutispora
Lyngbya_aestuarii_BL_J	GCF_000478195.2	Lyngbya aestuarii	Lyngbya
Lysinibacillus_odysseyi_34hs-1_=_NBRC_100172	GCF_000773015.1	Lysinibacillus odysseyi	Lysinibacillus
Lysinimicrobium_soli	GCF_000971195.1	Lysinimicrobium soli	Lysinimicrobium
Lysinimonas_sp._2DFWR-13	GCF_003627075.1	Lysinimonas sp.	Lysinimonas
Lysobacter_defluvii_IMMIB_APB-9_=_DSM_18482	GCF_000423325.1	Lysobacter defluvii	Lysobacter
Macellibacteroides_sp._HH-ZS	GCF_001704385.2	Macellibacteroides sp.	Macellibacteroides
Macrococcus_canis	GCF_002119805.1	Macrococcus canis	Macrococcus
Macromonas_bipunctata	GCF_002837135.1	Macromonas bipunctata	Macromonas
Mageeibacillus_indolicus_UPII9-5	GCF_000025225.2	Mageeibacillus indolicus	Mageeibacillus
Magnetococcales_bacterium_UR-1	GCF_004217665.1	Magnetococcales bacterium	Magnetococcales
Magnetococcus_marinus_MC-1	GCF_000014865.1	Magnetococcus marinus	Magnetococcus
Magnetofaba_australis_IT-1	GCF_002109495.1	Magnetofaba australis	Magnetofaba
Magnetospira_sp._QH-2	GCF_000968135.1	Magnetospira sp.	Magnetospira
Magnetospirillum_marisnigri	GCF_001650715.1	Magnetospirillum marisnigri	Magnetospirillum
Magnetovibrio_blakemorei	GCF_001746755.1	Magnetovibrio blakemorei	Magnetovibrio
Mahella_australiensis_50-1_BON	GCF_000213255.1	Mahella australiensis	Mahella
Mailhella_massiliensis	GCF_900155525.1	Mailhella massiliensis	Mailhella
Maize_bushy_stunt_phytoplasma	GCF_001712875.1	Maize bushy	Maize
Maledivibacter_halophilus	GCF_900167445.1	Maledivibacter halophilus	Maledivibacter
Malikia_spinosa	GCF_002980625.1	Malikia spinosa	Malikia
Maliponia_aquimaris	GCF_900184945.1	Maliponia aquimaris	Maliponia
Malonomonas_rubra_DSM_5091	GCF_900142125.1	Malonomonas rubra	Malonomonas
Mameliella_alba	GCF_900101505.1	Mameliella alba	Mameliella
Mangrovibacter_phragmitis	GCF_001655675.1	Mangrovibacter phragmitis	Mangrovibacter
Mangrovibacterium_diazotrophicum	GCF_003610535.1	Mangrovibacterium diazotrophicum	Mangrovibacterium
Mangrovicella_endophytica	GCF_002893625.1	Mangrovicella endophytica	Mangrovicella
Mangrovicoccus_ximenensis	GCF_003056725.1	Mangrovicoccus ximenensis	Mangrovicoccus
Mangrovimonas_yunxiaonensis	GCF_000733475.1	Mangrovimonas yunxiaonensis	Mangrovimonas
Mangrovitalea_sediminis	GCF_002514725.1	Mangrovitalea sediminis	Mangrovitalea
Mannheimia_haemolytica_M42548	GCF_000376645.1	Mannheimia haemolytica	Mannheimia
Marasmitruncus_massiliensis	GCF_900186535.1	Marasmitruncus massiliensis	Marasmitruncus
Maribacter_forsetii_DSM_18668	GCF_000744105.1	Maribacter forsetii	Maribacter
Maribius_pelagius	GCF_900110115.1	Maribius pelagius	Maribius
Maricaulis_salignorans	GCF_900103475.1	Maricaulis salignorans	Maricaulis
Marichromatium_purpuratum_984	GCF_000224005.2	Marichromatium purpuratum	Marichromatium
Marinactinospora_thermotolerans_DSM_45154	GCF_900167435.1	Marinactinospora thermotolerans	Marinactinospora
Marinagarivorans_algicola	GCF_001292705.1	Marinagarivorans algicola	Marinagarivorans
Marinateneraspora_sediminis	GCF_003336445.1	Marinateneraspora sediminis	Marinateneraspora
Marinibacterium_profundimaris	GCF_002210095.1	Marinibacterium profundimaris	Marinibacterium
Mariniblastus_fucicola	GCF_001642875.1	Mariniblastus fucicola	Mariniblastus
Marinicauda_sp._WD6-1	GCF_003122085.1	Marinicauda sp.	Marinicauda
Marinicaulis_flavus	GCF_002943565.1	Marinicaulis flavus	Marinicaulis
Marinicella_sediminis	GCF_002000055.1	Marinicella sediminis	Marinicella
Marinifilaceae_bacterium_T3-2_S1-C	GCF_003996985.1	Marinifilaceae bacterium	Marinifilaceae
Marinifilum_fragile_JCM_15579	GCF_001310955.1	Marinifilum fragile	Marinifilum
Mariniflexile_sp._TRM1-10	GCF_003425985.1	Mariniflexile sp.	Mariniflexile
Marinilabilia_salmonicolor_JCM_21150	GCF_000259075.1	Marinilabilia salmonicolor	Marinilabilia
Marinilabiliaceae_bacterium_JC017	GCF_004296775.1	Marinilabiliaceae bacterium	Marinilabiliaceae
Marinilactibacillus_psychrotolerans	GCF_900101525.1	Marinilactibacillus psychrotolerans	Marinilactibacillus
Marinimicrobium_agarilyticum_DSM_16975	GCF_000423345.1	Marinimicrobium agarilyticum	Marinimicrobium
Marininema_mesophilum	GCF_900106775.1	Marininema mesophilum	Marininema
Mariniphaga_anaerophila	GCF_900129025.1	Mariniphaga anaerophila	Mariniphaga
Mariniradius_saccharolyticus_AK6	GCF_000330725.2	Mariniradius saccharolyticus	Mariniradius
Marinirhabdus_gelatinilytica	GCF_003353425.1	Marinirhabdus gelatinilytica	Marinirhabdus
Marinithermus_hydrothermalis_DSM_14884	GCF_000195335.1	Marinithermus hydrothermalis	Marinithermus
Marinitoga_piezophila_KA3	GCF_000255135.1	Marinitoga piezophila	Marinitoga
Marinobacter_excellens_HL-55	GCF_000934705.1	Marinobacter excellens	Marinobacter
Marinobacterium_profundum	GCF_001528745.1	Marinobacterium profundum	Marinobacterium
Marinococcus_halotolerans_DSM_16375	GCF_000420725.1	Marinococcus halotolerans	Marinococcus
Marinomonas_fungiae	GCF_001418205.1	Marinomonas fungiae	Marinomonas
Marinoscillum_furvescens_DSM_4134	GCF_003386095.1	Marinoscillum furvescens	Marinoscillum
Marinospirillum_minutulum_DSM_6287	GCF_000422325.1	Marinospirillum minutulum	Marinospirillum
Marinovum_algicola_DG_898	GCF_001046955.1	Marinovum algicola	Marinovum
Mariprofundus_ferrooxydans_PV-1	GCF_000153765.1	Mariprofundus ferrooxydans	Mariprofundus
Maritalea_myrionectae_DSM_19524	GCF_000423365.1	Maritalea myrionectae	Maritalea
Maritimibacter_alkaliphilus_HTCC2654	GCF_000152805.1	Maritimibacter alkaliphilus	Maritimibacter
Marivirga_tractuosa_DSM_4126	GCF_000183425.1	Marivirga tractuosa	Marivirga
Marivita_geojedonensis	GCF_002115805.1	Marivita geojedonensis	Marivita
Marivivens_niveibacter	GCF_002150005.2	Marivivens niveibacter	Marivivens
Marixanthomonas_ophiurae	GCF_003413745.1	Marixanthomonas ophiurae	Marixanthomonas
Marmoricola_aequoreus	GCF_000720335.1	Marmoricola aequoreus	Marmoricola
Martelella_endophytica	GCF_000960975.1	Martelella endophytica	Martelella
Marvinbryantia_formatexigens_DSM_14469	GCF_000173815.1	Marvinbryantia formatexigens	Marvinbryantia
Massilia_timonae	GCF_001866515.1	Massilia timonae	Massilia
Massilibacillus_massiliensis	GCF_900086705.1	Massilibacillus massiliensis	Massilibacillus
Massilibacterium_senegalense	GCF_001375675.1	Massilibacterium senegalense	Massilibacterium
Massilibacteroides_vaginae	GCF_900178525.1	Massilibacteroides vaginae	Massilibacteroides
Massilimaliae_massiliensis	GCF_900155615.1	Massilimaliae massiliensis	Massilimaliae
Massilioclostridium_coli	GCF_900095865.1	Massilioclostridium coli	Massilioclostridium
Massiliomicrobiota_timonensis	GCF_900120365.1	Massiliomicrobiota timonensis	Massiliomicrobiota
Mastigocladopsis_repens_PCC_10914	GCF_000315565.1	Mastigocladopsis repens	Mastigocladopsis
Mastigocladus_laminosus_UU774	GCF_001990805.1	Mastigocladus laminosus	Mastigocladus
Mastigocoleus_testarum_BC008	GCF_001456025.1	Mastigocoleus testarum	Mastigocoleus
Mediterranea_massiliensis	GCF_900128475.1	Mediterranea massiliensis	Mediterranea
Mediterraneibacter_sp._KCTC_15684	GCF_003574295.1	Mediterraneibacter sp.	Mediterraneibacter
Megamonas_hypermegale_DSM_1672	GCF_000423385.1	Megamonas hypermegale	Megamonas
Megasphaera_elsdenii_14-14	GCF_001304715.1	Megasphaera elsdenii	Megasphaera
Meiothermus_timidus_DSM_17022	GCF_000373205.1	Meiothermus timidus	Meiothermus
Melaminivora_alkalimesophila	GCF_000282995.1	Melaminivora alkalimesophila	Melaminivora
Melghirimyces_thermohalophilus	GCF_900102685.1	Melghirimyces thermohalophilus	Melghirimyces
Melioribacter_roseus_P3M-2	GCF_000279145.1	Melioribacter roseus	Melioribacter
Melissococcus_plutonius_S1	GCF_000747585.1	Melissococcus plutonius	Melissococcus
Melittangium_boletus_DSM_14713	GCF_002305855.1	Melittangium boletus	Melittangium
Merdibacter_massiliensis	GCF_900155395.1	Merdibacter massiliensis	Merdibacter
Merdimonas_faecis	GCF_001754075.1	Merdimonas faecis	Merdimonas
Merismopedia_glauca_CCAP_1448/3	GCF_003003775.1	Merismopedia glauca	Merismopedia
Mesoaciditoga_lauensis_cd-1655R_=_DSM_25116	GCF_000745455.1	Mesoaciditoga lauensis	Mesoaciditoga
Mesoflavibacter_zeaxanthinifaciens_DSM_18436	GCF_000422365.1	Mesoflavibacter zeaxanthinifaciens	Mesoflavibacter
Mesonia_phycicola	GCF_900141885.1	Mesonia phycicola	Mesonia
Mesoplasma_florum_L1	GCF_000008305.1	Mesoplasma florum	Mesoplasma
Mesorhizobium_plurifarium	GCF_000824785.1	Mesorhizobium plurifarium	Mesorhizobium
Mesosutterella_multiformis	GCF_003402575.1	Mesosutterella multiformis	Mesosutterella
Mesotoga_prima_MesG1.Ag.4.2	GCF_000147715.2	Mesotoga prima	Mesotoga
Metakosakonia_massiliensis_JC163	GCF_000321045.1	Metakosakonia massiliensis	Metakosakonia
Metallibacterium_scheffleri	GCF_002077135.1	Metallibacterium scheffleri	Metallibacterium
Metaprevotella_massiliensis	GCF_900241015.1	Metaprevotella massiliensis	Metaprevotella
Methylacidiphilum_kamchatkense_Kam1	GCF_000817245.1	Methylacidiphilum kamchatkense	Methylacidiphilum
Methylarcula_marina	GCF_003007735.2	Methylarcula marina	Methylarcula
Methylibium_petroleiphilum_PM1	GCF_000015725.1	Methylibium petroleiphilum	Methylibium
Methylobacillus_rhizosphaerae	GCF_900187985.1	Methylobacillus rhizosphaerae	Methylobacillus
Methylobacter_luteus_IMV-B-3098	GCF_000427625.1	Methylobacter luteus	Methylobacter
Methylobacterium_radiotolerans_JCM_2831	GCF_000019725.1	Methylobacterium radiotolerans	Methylobacterium
Methylobrevis_pamukkalensis	GCF_001720135.1	Methylobrevis pamukkalensis	Methylobrevis
Methylocaldum_szegediense_O-12	GCF_000427385.1	Methylocaldum szegediense	Methylocaldum
Methylocapsa_aurea	GCF_000746085.1	Methylocapsa aurea	Methylocapsa
Methyloceanibacter_caenitepidi	GCF_000828475.1	Methyloceanibacter caenitepidi	Methyloceanibacter
Methylocella_silvestris_BL2	GCF_000021745.1	Methylocella silvestris	Methylocella
Methylococcaceae_bacterium_FWC3	GCF_004168015.1	Methylococcaceae bacterium	Methylococcaceae
Methylococcus_capsulatus_str._Bath	GCF_000008325.1	Methylococcus capsulatus	Methylococcus
Methylocucumis_oryzae	GCF_000963695.1	Methylocucumis oryzae	Methylocucumis
Methylocystis_parvus_OBBP	GCF_000283235.1	Methylocystis parvus	Methylocystis
Methyloferula_stellata_AR4	GCF_000385335.1	Methyloferula stellata	Methyloferula
Methylogaea_oryzae_JCM_16910	GCF_001312345.1	Methylogaea oryzae	Methylogaea
Methyloglobulus_morosus_KoM1	GCF_000496735.2	Methyloglobulus morosus	Methyloglobulus
Methylohalobius_crimeensis_10Ki	GCF_000421465.1	Methylohalobius crimeensis	Methylohalobius
Methyloligella_halotolerans	GCF_001708935.1	Methyloligella halotolerans	Methyloligella
Methylomagnum_ishizawai	GCF_900155475.1	Methylomagnum ishizawai	Methylomagnum
Methylomarinum_vadi	GCF_000733935.1	Methylomarinum vadi	Methylomarinum
Methylomicrobium_agile	GCF_000733855.1	Methylomicrobium agile	Methylomicrobium
Methylomonas_koyamae_JCM_16701	GCF_001312005.1	Methylomonas koyamae	Methylomonas
Methylomusa_anaerophila	GCF_003966895.1	Methylomusa anaerophila	Methylomusa
Methylophaga_frappieri	GCF_000260965.1	Methylophaga frappieri	Methylophaga
Methylophilaceae_bacterium	GCF_003730115.1	Methylophilaceae bacterium	Methylophilaceae
Methylophilales_bacterium_LSUCC0135	GCF_001704575.1	Methylophilales bacterium	Methylophilales
Methylophilus_rhizosphaerae	GCF_900100975.1	Methylophilus rhizosphaerae	Methylophilus
Methylopila_sp._M107	GCF_000384475.1	Methylopila sp.	Methylopila
Methyloprofundus_sedimenti	GCF_002072955.1	Methyloprofundus sedimenti	Methyloprofundus
Methylorubrum_populi_BJ001	GCF_000019945.1	Methylorubrum populi	Methylorubrum
Methylosarcina_lacus_LW14	GCF_000527095.1	Methylosarcina lacus	Methylosarcina
Methylosinus_trichosporium_OB3b	GCF_000178815.2	Methylosinus trichosporium	Methylosinus
Methylotenera_mobilis_JLW8	GCF_000023705.1	Methylotenera mobilis	Methylotenera
Methyloterricola_oryzae	GCF_000934725.1	Methyloterricola oryzae	Methyloterricola
Methyloversatilis_thermotolerans	GCF_000372885.1	Methyloversatilis thermotolerans	Methyloversatilis
Methylovirgula_ligni	GCF_003387225.1	Methylovirgula ligni	Methylovirgula
Methylovorus_glucosetrophus_SIP3-4	GCF_000023745.1	Methylovorus glucosetrophus	Methylovorus
Methylovulum_miyakonense_HT12	GCF_000384075.1	Methylovulum miyakonense	Methylovulum
Micavibrio_aeruginosavorus_ARL-13	GCF_000226315.1	Micavibrio aeruginosavorus	Micavibrio
Microbacteriaceae_bacterium	GCF_900098805.1	Microbacteriaceae bacterium	Microbacteriaceae
Microbacterium_humi	GCF_900105715.1	Microbacterium humi	Microbacterium
Microbispora_rosea	GCF_900156315.1	Microbispora rosea	Microbispora
Microbulbifer_yueqingensis	GCF_900100355.1	Microbulbifer yueqingensis	Microbulbifer
Microcella_alkaliphila	GCF_002355395.1	Microcella alkaliphila	Microcella
Micrococcaceae_bacterium_C1-50	GCF_003946885.1	Micrococcaceae bacterium	Micrococcaceae
Micrococcales_bacterium_KH10	GCF_900188465.1	Micrococcales bacterium	Micrococcales
Micrococcus_terreus	GCF_900116905.1	Micrococcus terreus	Micrococcus
Microcoleus_sp._PCC_7113	GCF_000317515.1	Microcoleus sp.	Microcoleus
Microcystis_aeruginosa_NIES-843	GCF_000010625.1	Microcystis aeruginosa	Microcystis
Microlunatus_soli	GCF_900105385.1	Microlunatus soli	Microlunatus
Micromonospora_cremea	GCF_900143515.1	Micromonospora cremea	Micromonospora
Micromonosporaceae_bacterium_CPCC_204380	GCF_003426775.1	Micromonosporaceae bacterium	Micromonosporaceae
Micropruina_glycogenica	GCF_900289045.1	Micropruina glycogenica	Micropruina
Microscilla_marina_ATCC_23134	GCF_000169175.1	Microscilla marina	Microscilla
Microterricola_viridarii	GCF_001542775.1	Microterricola viridarii	Microterricola
Microtetraspora_malaysiensis	GCF_001528665.1	Microtetraspora malaysiensis	Microtetraspora
Microvirga_guangxiensis	GCF_900102135.1	Microvirga guangxiensis	Microvirga
Microvirgula_aerodenitrificans_DSM_15089	GCF_000620105.1	Microvirgula aerodenitrificans	Microvirgula
Millionella_massiliensis	GCF_900104655.1	Millionella massiliensis	Millionella
Millisia_brevis_NBRC_105863	GCF_001552615.1	Millisia brevis	Millisia
Miniimonas_sp._S16	GCF_003074035.1	Miniimonas sp.	Miniimonas
Miniphocibacter_massiliensis	GCF_900232905.1	Miniphocibacter massiliensis	Miniphocibacter
Minwuia_thermotolerans	GCF_002798435.1	Minwuia thermotolerans	Minwuia
Mitsuaria_chitosanitabida_NBRC_102408	GCF_001598255.1	Mitsuaria chitosanitabida	Mitsuaria
Mitsuokella_multacida_DSM_20544	GCF_000155955.1	Mitsuokella multacida	Mitsuokella
Mixta_calida	GCF_002095355.1	Mixta calida	Mixta
Mizugakiibacter_sediminis	GCF_000953855.2	Mizugakiibacter sediminis	Mizugakiibacter
Mobilibacterium_timonense	GCF_900155555.1	Mobilibacterium timonense	Mobilibacterium
Mobilicoccus_pelagius_NBRC_104925	GCF_000247995.1	Mobilicoccus pelagius	Mobilicoccus
Mobilisporobacter_senegalensis	GCF_003752155.1	Mobilisporobacter senegalensis	Mobilisporobacter
Mobiluncus_curtisii_ATCC_43063	GCF_000196535.1	Mobiluncus curtisii	Mobiluncus
Modestobacter_caceresii	GCF_000761485.1	Modestobacter caceresii	Modestobacter
Moellerella_wisconsensis_ATCC_35017	GCF_001294465.1	Moellerella wisconsensis	Moellerella
Mogibacterium_timidum_ATCC_33093	GCF_000525775.1	Mogibacterium timidum	Mogibacterium
Moheibacter_sediminis	GCF_900176425.1	Moheibacter sediminis	Moheibacter
Monaibacterium_marinum	GCF_900231835.1	Monaibacterium marinum	Monaibacterium
Mongoliibacter_ruber	GCF_003003005.1	Mongoliibacter ruber	Mongoliibacter
Mongoliimonas_terrestris	GCF_001927285.1	Mongoliimonas terrestris	Mongoliimonas
Monoglobus_pectinilyticus	GCF_002874775.1	Monoglobus pectinilyticus	Monoglobus
Moorea_producens_PAL-8-15-08-1	GCF_001767235.1	Moorea producens	Moorea
Moorella_thermoacetica_ATCC_39073	GCF_000013105.1	Moorella thermoacetica	Moorella
Moraxella_atlantae_NBRC_14588	GCF_001591265.1	Moraxella atlantae	Moraxella
Moraxellaceae_bacterium_HYN0046	GCF_003351745.1	Moraxellaceae bacterium	Moraxellaceae
Mordavella_sp._Marseille-P3756	GCF_900312975.1	Mordavella sp.	Mordavella
Morganella_psychrotolerans	GCF_001676155.1	Morganella psychrotolerans	Morganella
Moritella_dasanensis_ArB_0140	GCF_000276805.1	Moritella dasanensis	Moritella
Morococcus_cerebrosus	GCF_001063455.1	Morococcus cerebrosus	Morococcus
Motilibacter_rhizosphaerae	GCF_004216915.1	Motilibacter rhizosphaerae	Motilibacter
Motilimonas_sp._PLHSC7-2	GCF_003596335.1	Motilimonas sp.	Motilimonas
Motiliproteus_sp._MSK22-1	GCF_001968815.1	Motiliproteus sp.	Motiliproteus
Mucilaginibacter_pineti	GCF_900101875.1	Mucilaginibacter pineti	Mucilaginibacter
Mucinivorans_hirudinis	GCF_000723505.1	Mucinivorans hirudinis	Mucinivorans
Mucispirillum_schaedleri_ASF457	GCF_000487995.1	Mucispirillum schaedleri	Mucispirillum
Mumia_flava	GCF_002797495.1	Mumia flava	Mumia
Murdochiella_massiliensis	GCF_900059565.1	Murdochiella massiliensis	Murdochiella
Muribacter_muris	GCF_001038205.1	Muribacter muris	Muribacter
Muribaculaceae_bacterium_Isolate-077_(Janvier)	GCF_003762805.1	Muribaculaceae bacterium	Muribaculaceae
Muribaculum_intestinale	GCF_002201515.1	Muribaculum intestinale	Muribaculum
Muricauda_zhangzhouensis	GCF_900102925.1	Muricauda zhangzhouensis	Muricauda
Muriicola_sp._MMS17-SY002	GCF_004139715.1	Muriicola sp.	Muriicola
Murinocardiopsis_flavida	GCF_003014485.1	Murinocardiopsis flavida	Murinocardiopsis
Myceligenerans_xiligouense	GCF_003814695.1	Myceligenerans xiligouense	Myceligenerans
